Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,3704.000000,3764.300049,3690.199951,3743.050049,3356.182861,861229
2021-04-05,3700.050049,3740.000000,3576.050049,3598.500000,3226.572754,723573
2021-04-06,3639.949951,3640.000000,3602.250000,3615.500000,3241.816162,501882
2021-04-07,3605.000000,3693.449951,3596.250000,3680.199951,3299.828613,346982
2021-04-08,3698.949951,3698.949951,3645.000000,3649.800049,3272.570801,414020
2021-04-09,3640.000000,3694.000000,3625.000000,3651.300049,3273.915771,484807
2021-04-12,3579.500000,3599.000000,3480.050049,3541.000000,3175.015869,724230
2021-04-13,3569.000000,3623.699951,3515.199951,3602.449951,3230.114502,412122
2021-04-15,3602.449951,3655.550049,3526.100098,3597.500000,3225.676270,614450
2021-04-16,3580.000000,3657.500000,3569.949951,3634.649902,3258.986572,526787
2021-04-19,3525.199951,3562.000000,3447.000000,3515.550049,3152.196289,601819
2021-04-20,3585.350098,3624.300049,3555.100098,3600.899902,3228.724854,676558
2021-04-22,3594.800049,3694.000000,3573.000000,3681.399902,3300.904785,1005711
2021-04-23,3680.000000,3709.600098,3640.000000,3672.500000,3292.924561,631762
2021-04-26,3682.199951,3749.000000,3676.000000,3738.850098,3352.416992,480016
2021-04-27,3738.850098,3798.000000,3727.199951,3785.500000,3394.245361,518487
2021-04-28,3810.050049,3954.000000,3807.000000,3889.750000,3487.720215,1252958
2021-04-29,3943.000000,3954.300049,3807.100098,3836.449951,3439.929199,1335444
2021-04-30,3805.000000,3966.350098,3800.000000,3833.750000,3437.508545,1340273
2021-05-03,3815.000000,3906.800049,3785.000000,3851.850098,3453.737549,796444
2021-05-04,3877.000000,3888.000000,3815.050049,3830.350098,3434.459961,408324
2021-05-05,3842.199951,3852.600098,3784.100098,3843.800049,3446.519287,371452
2021-05-06,3852.000000,3970.000000,3852.000000,3941.199951,3533.852783,938078
2021-05-07,3954.500000,3967.800049,3853.949951,3866.750000,3467.097900,486456
2021-05-10,3900.000000,3903.850098,3844.500000,3868.649902,3468.801270,306598
2021-05-11,3860.000000,3894.699951,3811.250000,3879.300049,3478.350586,453808
2021-05-12,3866.000000,3900.000000,3847.199951,3875.250000,3474.718750,499840
2021-05-14,3880.300049,3894.149902,3814.000000,3848.800049,3451.002930,481619
2021-05-17,3845.000000,3924.399902,3833.199951,3864.399902,3464.990479,427552
2021-05-18,3898.699951,4078.000000,3867.399902,4067.199951,3646.829834,1371585
2021-05-19,4075.000000,4112.000000,4047.800049,4095.949951,3672.608154,788882
2021-05-20,4095.949951,4129.000000,4062.100098,4071.199951,3650.416260,465579
2021-05-21,4082.199951,4132.000000,4055.100098,4125.549805,3699.148682,378016
2021-05-24,4125.000000,4184.850098,4107.399902,4142.299805,3714.167725,500267
2021-05-25,4165.549805,4187.000000,4141.000000,4150.100098,3721.161621,297915
2021-05-26,4150.100098,4180.000000,4142.000000,4166.299805,3735.687012,261524
2021-05-27,4170.000000,4274.000000,4152.750000,4246.100098,3807.239502,878610
2021-05-28,4240.200195,4256.000000,4187.649902,4199.500000,3765.455811,285520
